iteration,epoch,batch,loss,words/sec,time_elapsed,best_perplexity
685600,1,200,1.5629171133041382,38729.08771743436,19.8032169342041,4.8012034753882205
685800,1,400,1.6907190084457397,33456.97269666306,41.435245752334595,4.77704554906441
686000,1,600,1.7183442115783691,32063.401837057547,62.90918326377869,4.77704554906441
iteration,epoch,batch,loss,words/sec,time_elapsed,best_perplexity
686200,1,200,1.6635195016860962,32317.567314606033,22.30869960784912,4.775204813090183
686400,1,400,1.7536207437515259,27241.74400809795,45.1756067276001,4.7665089267946525
686600,1,600,1.6737114191055298,32199.396045015263,68.4909462928772,4.7665089267946525
686800,1,800,1.6576341390609741,29355.86237111259,91.06348133087158,4.7665089267946525
687000,1,1000,1.7145752906799316,31434.8995963229,114.02320265769958,4.7665089267946525
687200,1,1200,1.7212189435958862,32320.983494463315,135.70374011993408,4.7665089267946525
687400,1,1400,1.7489386796951294,32401.924079346776,157.98769450187683,4.7665089267946525
687600,1,1600,1.6624069213867188,29494.730054101343,180.99203395843506,4.764974432851678
687800,1,1800,1.7118115425109863,29849.230170165712,203.8322310447693,4.764974432851678
688000,1,2000,1.7029589414596558,36762.57510390037,227.1702699661255,4.764974432851678
688200,1,2200,1.6201502084732056,30741.826233330397,249.6176209449768,4.764974432851678
688400,1,2400,1.7410260438919067,30571.672040107984,272.8185954093933,4.764974432851678
688600,1,2600,1.6176378726959229,32280.377870201988,294.96214175224304,4.764974432851678
688800,1,2800,1.6964589357376099,30696.970336964136,318.1446330547333,4.764974432851678
689000,1,3000,1.6021913290023804,26107.01032475931,341.40402936935425,4.764974432851678
689200,1,3200,1.6100198030471802,30875.497189767713,364.60801100730896,4.7504261698577395
689400,1,3400,1.653333067893982,31898.582398168477,387.6668436527252,4.7504261698577395
689600,1,3600,1.7798868417739868,31103.96529871078,410.46209263801575,4.7504261698577395
689800,1,3800,1.8420860767364502,32810.98934353313,433.0869359970093,4.7504261698577395
690000,1,4000,1.692712426185608,29781.965302018714,455.4252624511719,4.7504261698577395
690200,1,4200,1.6238385438919067,32121.37614016222,477.99130272865295,4.7504261698577395
690400,1,4400,1.777286410331726,31405.063981092124,501.21097922325134,4.7504261698577395
690600,1,4600,1.5637016296386719,32674.807762336935,524.625812292099,4.7504261698577395
690800,1,4800,1.775539755821228,28258.623188729962,547.6223661899567,4.7504261698577395
691000,1,5000,1.6680009365081787,32521.62963829462,570.8256740570068,4.7504261698577395
691200,1,5200,1.73359215259552,32301.640112079258,593.6412951946259,4.7504261698577395
691400,1,5400,1.815389633178711,29516.071537265867,616.4377830028534,4.7504261698577395
691600,1,5600,1.5279326438903809,28833.425576208538,639.7864143848419,4.7504261698577395
691800,2,175,1.610020637512207,34532.54596463958,662.2489993572235,4.7504261698577395
692000,2,375,1.7899078130722046,31358.212415381186,684.4323468208313,4.7504261698577395
692200,2,575,1.631115198135376,31309.769492103762,707.5874247550964,4.7504261698577395
692400,2,775,1.7833633422851562,32174.158363080125,731.0149903297424,4.7504261698577395
692600,2,975,1.5636630058288574,34981.43105316097,753.1351866722107,4.7504261698577395
692800,2,1175,1.7830890417099,33665.97752572032,775.6482524871826,4.7504261698577395
693000,2,1375,1.6035223007202148,37199.84139902752,798.6978509426117,4.7504261698577395
693200,2,1575,1.6057605743408203,31382.32487865239,820.994903087616,4.7504261698577395
693400,2,1775,1.7645920515060425,33005.359175365746,845.0227372646332,4.7504261698577395
693600,2,1975,1.6424757242202759,28929.137563461078,867.6878831386566,4.7504261698577395
693800,2,2175,1.761156678199768,31580.38705170691,891.2351515293121,4.7504261698577395
694000,2,2375,1.6440339088439941,33762.45194673771,914.2323470115662,4.7504261698577395
694200,2,2575,1.8184058666229248,32276.266767078625,936.7003152370453,4.7504261698577395
